gen,nevals,avg,std,min,max
0,50,-2.986841368686914,6.976760697262556,-6.877296071497429,21.372378886309367
1,55,2.5778204505177995,9.142273417613389,-5.777652323222656,13.009567413221266
2,61,11.1191079204522,8.719364882229183,-5.342334251964811,39.427845967822236
3,60,17.326845008179948,10.599512701513023,-4.61512051684126,48.136368824401906
4,60,25.804831866426092,13.902441143829646,12.924826184766172,48.222347676777346
5,55,29.96972546227164,13.005306856275434,12.527729326328526,57.416503691218296
6,59,38.67162113336476,10.399588495322648,21.191857510019556,57.416503691218296
7,59,47.25226014654073,8.819218593615489,21.326676732828506,57.416503691218296
8,60,51.89347815499906,6.931986266809009,30.386871893611932,66.25379680945984
9,59,55.16404780826925,7.0548797230863665,30.372378886309363,66.25379680945984
10,60,57.304577061614,5.663064781944039,39.25060701409174,66.25379680945984
11,59,60.54502054597485,5.2888668988040815,39.26020708782077,66.25379680945984
12,59,60.57500097489654,5.79831807297527,40.1716862626977,66.25379680945984
13,60,63.950713084223345,3.885512443358304,57.25060701409174,66.25379680945984
14,54,65.53908052855344,3.012641886209479,48.36164533066626,66.25379680945984
15,56,66.07413610423048,1.2496615615462778,57.3266767328285,66.25379680945984
