gen,nevals,avg,std,min,max
0,50,-3.6277646902056393,7.099669683270925,-7.002155954403621,39.482547103535296
1,58,-3.258652375416208,4.521594258952807,-5.777652323222656,13.002787726235887
2,58,-1.9064861879613944,6.793447107622157,-5.746203190540154,30.219256484207666
3,60,-0.6779546212712149,9.811787719886862,-5.7651911027848435,39.39052820481504
4,61,-0.794976019368588,7.845325213446132,-5.6240175061873385,30.494668464067637
5,56,-0.0570822789937713,8.376563654427601,-5.560681631015528,39.20394224923463
6,58,-0.13770948769282157,7.525741440236249,-5.541263545158426,21.405288620398164
7,56,1.1732400457195624,8.248942510248332,-5.4680601411351315,30.401578041001628
8,61,0.6809742316298497,8.338469363979792,-5.424950017481403,30.570654371045563
9,60,4.0554225299867515,8.34525628708763,-4.912654885736052,30.667281206734636
10,62,6.473751496972204,8.828459763808029,-4.727387818712341,30.667281206734636
11,61,6.483209002326162,8.420431243991162,-4.709530201312334,21.706695175275502
12,56,8.509422140721886,8.11623778738926,-4.158883083359671,30.44704041507838
13,60,9.565369192912854,8.627463543615393,-2.7080502011022105,30.912403664767616
14,60,11.791701619892251,9.855989768044978,-2.7080502011022105,39.63870783429057
15,62,10.997973426990205,9.115641208210628,-2.7080502011022105,39.340517784240376
