gen,nevals,avg,std,min,max
0,50,-3.0141419631841786,7.339801295635967,-6.755768921984256,30.85833644349734
1,56,-3.6285272076810395,7.2761312987949776,-5.855071922202427,39.37237888630936
2,57,-5.056657293919028,1.7960255171767372,-5.777652323222656,3.2442577864130877
3,59,-4.59467843110874,3.2883180512129444,-5.777652323222656,13.009567413221262
4,57,-3.5059696330509906,6.541466005202281,-5.777652323222656,29.661405921796813
5,56,-1.4125708695395003,8.861986712320597,-5.765191102784844,30.610928270183503
6,61,-2.354119168395118,6.48984035450621,-5.768320995793772,12.882006187583244
7,58,-2.5410464350881905,7.084828785013161,-5.755742213586913,30.358092929061886
8,59,-0.6259858057016242,7.774745457032474,-5.7430031878094825,13.009567413221262
9,61,-1.9821682514155012,6.840854848464691,-5.75890177387728,13.009567413221266
10,55,0.7754589338903535,9.264987904058456,-5.7430031878094825,30.36878821817864
11,58,1.6088710808251563,8.791793617345695,-5.7430031878094825,21.337039519864053
12,58,3.779826927018786,9.406007301879555,-5.620400865717148,21.638707834290575
13,61,4.610329899997707,9.888554655296534,-5.488937726156687,30.23480889721516
14,58,5.895113076411195,11.295970520496663,-5.484796933490657,39.39052820481504
15,56,7.87086114735428,9.229888238046678,-5.4116460518550396,30.57946500072772
