gen,nevals,avg,std,min,max
0,50,-2.641759023413108,6.723225605644872,-6.76272950693188,21.85250552318655
1,62,-1.4261078132751157,10.417201038370038,-5.84354441703136,39.56627799644576
2,61,-0.3174583245589321,9.461319057572114,-5.777652323222656,39.87603602059674
3,58,-1.3576855745275496,8.692864849479294,-5.777652323222656,30.615504937210915
4,58,-1.3164502808681158,8.302854215595305,-5.777652323222656,30.409013019489148
5,58,-0.7878162581629822,8.348797731893002,-5.777652323222656,21.785064242391016
6,59,1.1521244880806492,12.720070303042347,-5.777652323222656,57.58835394814497
7,59,-2.4759172252833905,6.556218164260645,-5.762051382780177,21.416503691218306
8,60,-0.510043599484206,8.17580590437282,-5.749392985908254,21.85833644349734
9,62,-0.00802801863799413,9.789766393778397,-5.746203190540153,39.21925648420766
10,61,-0.4383905129979268,8.207633377150154,-5.7430031878094825,21.63870783429057
11,56,2.0464672460302262,10.252313267139685,-5.7430031878094825,39.98936470590374
12,59,4.454910746194992,10.597495258075664,-5.602118820879703,48.222347676777346
13,60,4.214802823062402,10.244887483151023,-5.755742213586913,30.77964417492167
14,55,4.3229353723073425,10.372366676130643,-5.602118820879703,30.747726571953375
15,54,3.9615804257070124,9.049377489743371,-5.26785815906333,21.747726571953372
