gen,nevals,avg,std,min,max
0,3,-4.753911219514869,0.24131741060194709,-5.0106352940962555,-4.430816798843313
1,6,7.027341528017376,3.90142795689141,4.237826065202244,12.544678884642298
2,5,30.92842176073249,0.10534619968212985,30.779644174921675,31.009567413221262
3,6,36.4794063427046,4.031341661304175,30.779644174921675,39.43931836898447
4,5,54.41100954910155,15.333279032152204,39.32324619773172,75.44317193830047
5,7,18.859750780222075,4.531230428987001,12.46661051127248,22.435651808532164
6,7,25.105818727834308,4.373807912974671,21.924826184766175,31.290469798687667
7,7,45.666035960922756,10.97930224416361,31.002787726235887,57.42027017401378
8,6,42.716895823454486,8.19160613200895,31.132465549544417,48.5750499825186
9,6,34.010876756160414,4.086831193407405,31.109650871778246,39.79051384715858
10,5,36.82069513667121,4.039396296018088,31.109650871778246,39.79051384715858
