gen,nevals,avg,std,min,max
0,100,9.03227622107325,22.683854426955424,-6.658011045870748,66.41275134159974
1,92,10.065881656269099,22.918074688318406,-6.2285110035911835,75.00853545289202
2,88,7.6122418399081475,22.013840389569403,-6.361302477572996,66.79051384715858
3,93,8.778980765612884,22.706489289420677,-6.102558594613569,90.19520306650938
4,91,9.755883744692433,20.492579278606996,-6.476972362889683,66.23794861721983
5,96,9.355456705878352,20.55053812069099,-6.778784897685177,66.24109822612272
6,89,11.229146625150765,22.763623442766086,-6.208590026096629,66.61550493721091
7,88,10.283607611308316,22.718775151714038,-6.511745329644728,74.72335651065836
8,89,10.39247646767295,23.389332713810756,-6.198478716492308,85.53970258104907
9,87,10.548622150018284,22.468874396784052,-6.278521424165844,66.82385026742617
10,86,10.633313614763617,22.663093828481117,-6.182084906716632,74.60975933293464
11,87,10.514315611872577,22.86244923411519,-6.052089168924417,66.72700044143625
12,90,8.580736493101814,20.35172314585878,-6.073044534100405,66.2731522524128
13,91,5.708781548889548,17.914217293761087,-6.238324625039508,66.24109822612272
14,87,6.378006179185987,18.817060784902303,-6.244166900663736,66.57504998251859
15,93,6.444252057356372,19.740511443672943,-6.040254711277414,85.68394224923465
16,89,8.272828329013304,21.420767467400115,-6.021023349349527,66.50283177470679
17,94,8.517366591086734,22.881236409536704,-6.040254711277414,85.51106227384334
18,85,7.629084688647858,21.35965023251867,-6.035481432524756,85.51106227384334
19,92,9.558988149151466,20.54376554472803,-6.030685260261263,66.23794861721983
20,88,8.205450035442151,20.766155117947417,-6.280395838960195,88.06657125383505
