gen,nevals,avg,std,min,max
0,3,-5.473862167850908,0.3926831662994787,-5.996452088619021,-5.049856007249537
1,7,12.423961342421222,7.376739448341095,3.4470404150783827,21.515203066509343
2,7,3.837452820087734,0.1562032518852929,3.727000441436253,4.058357577390696
3,7,33.56734793936303,4.121536428283963,30.435479592677307,39.39052820481504
4,6,30.761060247359467,7.212625808190746,22.09472522156157,39.752975927839515
5,7,36.651749845089164,4.337210491126658,30.519361076658008,39.829516004961846
6,6,42.39678614994957,11.223991791547489,30.519361076658008,57.45482255552044
7,7,66.45486833503112,7.338900471074191,57.46661051127248,75.44317193830047
8,7,55.45305657299505,22.16851916056913,39.74250462797222,86.80405089685371
9,7,57.330984523625055,0.2753300304934877,57.054579391393425,57.706695175275506
10,6,60.89702536717135,19.113972607099587,39.53616819497439,85.92322890233345
