gen,nevals,avg,std,min,max
0,3,18.03320811162651,27.298377622743544,-5.749392985908253,56.260663372642824
1,6,63.700976152036496,16.94903624750936,47.68826519084708,87.15399989261958
2,5,86.81635440776417,0.4775028239565602,86.14106343805335,87.15399989261958
3,7,87.39399989261959,0.16970562748477114,87.15399989261958,87.51399989261958
4,5,87.27399989261959,0.16970562748477114,87.15399989261958,87.51399989261958
5,6,87.26911937595526,0.17325981324374326,87.13935834262664,87.51399989261958
6,6,87.15399989261958,0.0,87.15399989261958,87.15399989261958
7,7,86.59870892290876,0.6472084514413313,86.14106343805335,87.51399989261958
8,6,86.93635440776416,0.5812433769530522,86.14106343805335,87.51399989261958
9,6,87.27399989261959,0.16970562748477114,87.15399989261958,87.51399989261958
10,7,86.93635440776416,0.5812433769530522,86.14106343805335,87.51399989261958
11,7,87.39399989261959,0.16970562748477114,87.15399989261958,87.51399989261958
12,7,86.59870892290876,0.6472084514413313,86.14106343805335,87.51399989261958
13,7,87.51399989261957,1.4210854715202004e-14,87.51399989261958,87.51399989261958
14,7,86.07737750504448,1.5225739820632151,83.92413272989427,87.15399989261958
15,7,86.81439073427767,0.4761142971182196,86.14106343805335,87.15105438238983
16,6,86.93537257102093,0.5808772732604552,86.14106343805335,87.51399989261958
17,7,87.39301805587633,0.17109415432311173,87.15105438238983,87.51399989261958
18,7,86.59870892290876,0.6472084514413313,86.14106343805335,87.51399989261958
19,7,86.47870892290875,0.4775028239565602,86.14106343805335,87.15399989261958
20,7,87.3979564178047,0.17257135981243063,87.15399989261958,87.52586946817496
