gen,nevals,avg,std,min,max
0,3,-2.846958740216207,3.6328751212245116,-5.996452088619021,2.2430676107524468
1,7,-4.468791573655548,0.20014207875978596,-4.709530201312334,-4.219507705176107
2,5,-4.30545074161014,0.12154180771653493,-4.477336814478207,-4.219507705176107
3,6,-4.391393778044173,0.12154180771653493,-4.477336814478207,-4.219507705176107
4,6,-4.30545074161014,0.12154180771653493,-4.477336814478207,-4.219507705176107
5,4,-4.219507705176107,0.0,-4.219507705176107,-4.219507705176107
6,6,-4.402568008723721,0.13016463618968074,-4.51085950651685,-4.219507705176107
7,7,-4.30545074161014,0.12154180771653493,-4.477336814478207,-4.219507705176107
8,7,-4.30545074161014,0.12154180771653493,-4.477336814478207,-4.219507705176107
9,7,-4.477336814478207,0.0,-4.477336814478207,-4.477336814478207
10,7,-4.30545074161014,0.12154180771653493,-4.477336814478207,-4.219507705176107
