gen,nevals,avg,std,min,max
0,3,0.7163418834294889,8.659740903581426,-5.424950017481403,12.96304739758637
1,7,21.578776128125046,25.36554407828806,3.55326262833369,57.45092391510478
2,5,42.53228671757598,11.211206691230407,30.424050896853686,57.45092391510478
3,4,51.54124439032635,8.357548933220247,39.72188534076948,57.45092391510478
4,7,42.63018098486093,21.018234640942833,12.906249799193237,57.615504937210915
5,4,54.56064459650887,4.320224924976525,48.45092391510478,57.615504937210915
6,6,63.76323584566171,15.644091146991618,48.4316554962389,85.24254710353532
7,7,54.74106099932627,8.539901035268706,48.66246192029868,66.81821644970792
8,7,45.863344534154216,8.345876184458096,39.706695175275506,57.66246192029868
9,7,64.58817549406291,16.645205141539673,48.90624979919324,87.6328282285399
10,6,52.81890716040968,24.91513885600866,30.706695175275506,87.6328282285399
