gen,nevals,avg,std,min,max
0,3,-4.56097956827815,0.3739292066522582,-5.081404364984463,-4.219507705176107
1,7,-4.4550320666408645,0.17404923777959075,-4.634728988229636,-4.219507705176107
2,6,-4.30545074161014,0.12154180771653493,-4.477336814478207,-4.219507705176107
3,5,-4.219507705176107,0.0,-4.219507705176107,-4.219507705176107
4,7,-4.29388888894751,0.10519087887488401,-4.442651256490317,-4.219507705176107
5,7,-4.375887106165876,0.11219600632852862,-4.477336814478207,-4.219507705176107
6,7,-4.391393778044173,0.12154180771653493,-4.477336814478207,-4.219507705176107
7,7,-4.499685275837302,0.015802748576101783,-4.51085950651685,-4.477336814478207
8,7,-4.219507705176107,0.0,-4.219507705176107,-4.219507705176107
9,6,-4.219507705176107,0.0,-4.219507705176107,-4.219507705176107
10,5,-4.219507705176107,0.0,-4.219507705176107,-4.219507705176107
