gen,nevals,avg,std,min,max
0,25,-2.5917964446377617,6.887351664484387,-7.3796321526095525,12.918595635015537
1,137,3.2588262458145736,9.923477787288196,-5.723585101952381,29.8220558859494
2,137,11.798146739476651,7.540160297743085,-5.062595033026967,30.319827390982937
3,133,14.053642248885819,5.363002468433708,3.405288620398161,29.77940982990026
4,135,15.620221069727423,4.035216143479052,12.696695091940924,21.858336443497343
5,137,17.7774578416578,4.920609791539567,12.888012211643458,30.416503691218303
6,141,20.230079612584255,5.373067502555337,12.672123831210417,30.519361076658004
7,130,24.501324902864,6.4997615410974765,12.882006187583244,39.40157804100163
8,139,27.762988986286942,4.884535370579439,21.266658723102253,39.40157804100163
9,132,28.51746985176838,4.5736751533962305,12.894054526099419,30.85250552318655
10,131,28.193082036775394,3.953582834796964,21.49061166337202,30.85250552318655
11,135,28.19302880876678,6.8248267843508,12.976119479153724,39.557582289478205
12,128,27.4876733671142,5.483512996540269,13.187815644627584,30.85250552318655
13,135,29.976402284480926,3.506401773573922,21.454822555520437,39.409013019489144
14,142,28.49227940249918,5.221964295044632,12.894054526099422,39.40157804100163
15,133,28.470327577832634,5.738161394809598,13.044172942398736,39.299556426609314
16,124,31.016945157312,5.317346143570227,21.65766574803519,39.66246192029868
17,137,31.69399570280312,5.197031598854793,21.601837298482245,39.66246192029868
18,130,30.65031750713745,7.572728482979886,3.6340239849781497,39.66246192029868
19,135,31.061849268285965,4.660245286991942,21.711732969305466,39.66246192029868
20,135,31.01165242567752,5.884504423381125,13.072746314842796,39.66246192029868
21,141,29.88365285564048,4.993432824736831,21.5446788846423,39.66246192029868
22,134,29.495811888258356,6.772281333790563,12.840944700785471,39.66246192029868
23,136,29.115701491206465,5.408788030147225,21.447040415078384,39.4165036912183
24,135,31.238228076836748,4.935147953014549,21.747726571953372,39.42027017401378
25,140,33.325216131317575,4.157990740101153,30.206986391615857,39.42027017401378
26,138,34.76580033346197,4.423898151547502,30.260207087820767,39.42027017401378
27,136,35.102139183255815,6.174087642628875,21.588353948144956,39.42027017401378
28,134,36.50938509400778,6.437619148878412,13.009567413221262,39.40528862039815
29,136,35.04973233699206,7.174195378405004,21.431655496238903,48.31982739098294
30,135,35.094073836139074,6.659314096619397,21.691732302598794,48.31982739098294
