gen,nevals,avg,std,min,max
0,25,-2.6251003988690744,5.624233571554749,-6.956545443151569,13.009567413221262
1,129,0.1315021032929997,8.450057782326315,-5.476463551931511,21.711732969305466
2,140,9.274911873254077,7.196482849752313,-5.159055299214529,21.747726571953372
3,136,13.68408488566678,2.38115500330645,12.368788218178636,21.747726571953372
4,139,14.40931673994138,3.2027476358090414,13.009567413221262,21.747726571953372
5,140,14.064721957561035,2.8371446952104553,13.009567413221262,21.747726571953372
6,139,14.407325465183655,3.18635045032935,13.009567413221262,21.747726571953372
7,138,15.105518334149643,3.716982945824103,12.969562078607566,21.747726571953372
8,131,16.15941244395671,4.187810297921496,13.009567413221262,21.747726571953372
9,137,17.921273791359383,4.297086482775188,13.023266257579428,21.976119479153724
10,132,19.68595261483988,3.688526053419619,13.023266257579428,21.976119479153724
11,133,20.36769669273179,3.159652035060836,13.009567413221262,21.976119479153724
12,139,22.117265513637705,2.979967745054823,13.12480267679885,30.435479592677307
13,130,23.17974603253367,3.982019423013097,13.220876506888468,30.470570912488576
14,133,25.23419139761732,6.96518787469386,13.002787726235887,39.282972298593776
15,131,26.996416155097997,5.522616811188303,13.009567413221262,39.40157804100163
16,135,30.160536350630494,4.615470855173427,21.67699002086159,39.344008189180144
17,132,31.2173748957835,3.4634137442249537,21.727000441436253,39.40528862039817
18,130,30.85041391732034,3.0451841161853785,21.706695175275506,39.40528862039817
19,138,32.635908821705165,3.7768508495321442,30.394197933704007,39.368788218178636
20,134,32.293325911342556,4.3312504163854815,21.579465000727716,39.368788218178636
21,140,31.941124739865764,5.394414869384884,13.009567413221262,39.4316554962389
22,135,34.07113537339078,5.010132639614726,21.774253326286797,39.4316554962389
23,139,34.07442871911453,5.613803139663988,21.588353948144956,39.4316554962389
24,134,35.48297725887489,6.207686597110133,12.779644174921676,39.427845967822236
25,128,37.644542034778375,4.308082044261214,22.03715536974009,39.427845967822236
26,139,34.071397502313886,6.136832983045077,21.498741789455273,39.427845967822236
27,137,35.13391964105816,5.671875481749787,21.747726571953372,39.427845967822236
28,141,33.69817689535157,4.266760696464677,30.447040415078384,39.427845967822236
29,142,34.0687749879088,4.331675530856547,30.409013019489144,39.427845967822236
30,136,34.07999519031354,4.339910833222164,30.351025761838795,39.427845967822236
