gen,nevals,avg,std,min,max
0,3,-4.8461368988911895,1.5134942917826804,-6.0014148779611505,-2.7080502011022105
1,56,-3.60019848833117,1.2616882074471223,-5.384495062789089,-2.7080502011022096
2,61,-4.312532946319745,1.1346704876507527,-5.135798437050262,-2.7080502011022096
3,57,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
4,59,-2.70805020110221,4.440892098500626e-16,-2.7080502011022105,-2.7080502011022096
5,58,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
6,63,-2.70805020110221,4.440892098500626e-16,-2.7080502011022105,-2.7080502011022096
7,57,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
8,56,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
9,61,-2.70805020110221,4.440892098500626e-16,-2.7080502011022105,-2.7080502011022096
10,55,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
11,61,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
12,58,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
13,59,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
14,59,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
15,61,-2.708050201102209,4.440892098500626e-16,-2.7080502011022096,-2.7080502011022096
