gen,nevals,avg,std,min,max
0,25,-3.2364868008748324,6.092276531849632,-7.253470382684528,21.486571253835017
1,136,4.677123326944737,9.322555035160255,-5.771441123130016,21.752975927839515
2,142,14.639112099377382,7.577343944842216,-5.3706380281276624,21.870101285076927
3,141,22.416944715947547,6.821761195988967,12.75825298494036,38.72523797875806
4,139,24.1690256078105,8.293597471974293,12.969562078607566,47.853670742331104
5,134,27.256792892231857,9.427046357339316,13.009567413221262,47.853670742331104
6,130,29.902423192217334,7.908430657843439,13.009567413221262,47.853670742331104
7,136,33.62811516175745,9.3161325677289,12.969562078607566,47.853670742331104
8,133,42.50979713083247,6.59030592867684,29.908690117922305,56.63524924314808
9,136,45.71015170194618,3.7742278626330745,38.66140592179681,47.93157441175589
10,131,47.19410525766577,4.189729018250375,39.171054382389784,56.650861008620204
11,136,46.82586477363634,5.151949807809017,30.482547103535296,56.650861008620204
12,133,48.5842932512171,4.305999718179186,38.75389323451843,65.64737060368043
13,139,49.29838308387937,4.821605619160721,47.65611956587367,65.64737060368043
14,142,49.30881691466828,5.404049396890137,38.866601957003354,65.64737060368043
15,137,48.61378519963818,4.22954489498609,39.11667761151172,56.72712299345383
16,134,47.539216559697415,4.691651935023847,38.70843086044168,56.72712299345383
17,131,47.56657984128441,3.939444506577647,38.76167537496049,56.72712299345383
18,131,47.18225791142838,5.622305787549887,29.661405921796813,56.72712299345383
19,140,45.77796734734224,4.567989960642729,30.269900217026425,48.182888840036796
20,132,45.04724809685642,4.2136162881707655,38.66494574850194,48.27968822339259
21,135,46.123750536432155,6.107847993144868,30.27968822339259,56.86011544777375
22,139,45.4185200929198,7.296441008076596,21.77964417492167,56.86011544777375
23,134,45.40627173312774,9.495358534830075,21.77964417492167,56.86011544777375
24,137,49.5751551134907,7.559453312470328,38.70843086044168,56.86011544777375
25,134,48.91364520668666,9.8019791003738,21.194865031083516,56.84939723155372
26,135,51.40057096397026,5.611700259818841,38.65611956587367,56.84939723155372
27,138,50.71111632682294,8.924327152878154,21.179917069647637,56.84939723155372
28,131,48.23901346267813,10.15151168176484,29.908690117922298,56.84939723155372
29,136,51.802391313538486,9.060061939485271,21.32324619773172,56.84939723155372
30,135,53.57052878883247,4.284144520004242,47.70843086044168,56.866601957003354
